timestamp,Ct,Dt,Ht,At,CRGt,risk_pct
1776873917.5357456,1.0,0.3,0.8,0.0,0.7,1.8
1776873928.6036158,1.0,0.38,0.8,0.0,0.62,2.28
1776873939.7679648,1.0,0.52,0.8,0.0,0.48,3.42
1776873960.9362578,1.0,0.83,0.8,0.0,0.17,8.24
1776873972.050378,1.0,1.0,0.8,0.0,-0.0,13.01
1776873983.0504167,1.0,0.99,0.8,0.0,0.01,12.68
1776873994.3265631,1.0,0.99,0.8,0.0,0.01,12.68
1776874005.491307,1.0,0.81,0.8,0.0,0.19,7.8
1776874016.6293957,1.0,0.87,0.8,0.0,0.13,9.2
1776874043.013512,1.0,0.3,0.8,0.0,0.7,1.8
1776874054.134802,1.0,0.26,0.8,0.0,0.74,1.6
1776874065.2008395,1.0,0.23,0.8,0.0,0.77,1.46
1776874076.3466792,1.0,0.2,0.8,0.0,0.8,1.34
1776874087.477059,1.0,0.18,0.8,0.0,0.82,1.26
1776874098.5711205,1.0,0.17,0.8,0.0,0.83,1.22
1776874109.6435223,1.0,0.15,0.8,0.0,0.85,1.15
1776874130.8174863,1.0,0.34,0.8,0.0,0.66,2.02
1776874386.5268142,1.0,0.3,0.8,0.0,0.7,1.8
1776874397.6427624,1.0,0.46,0.8,0.0,0.54,2.87
1776874408.597888,1.0,0.59,0.8,0.0,0.41,4.19
1776874419.7314193,1.0,0.69,0.8,0.0,0.31,5.57
1776874430.867778,1.0,0.8,0.8,0.0,0.2,7.59
1776874441.995158,1.0,0.83,0.8,0.0,0.17,8.24
1776874453.1330073,1.0,0.88,0.8,0.0,0.12,9.45
1776874464.0878592,1.0,0.9,0.8,0.0,0.1,9.98
1776874475.2276103,1.0,0.89,0.8,0.0,0.11,9.71
1776874486.3630297,1.0,0.86,0.8,0.0,0.14,8.95
1776874497.497508,1.0,0.71,0.8,0.0,0.29,5.9
1776874508.6381333,1.0,0.58,0.8,0.0,0.41,4.19
1776874519.558631,1.0,0.49,0.8,0.0,0.51,3.14
1776877182.0029194,1.0,0.3,0.8,0.0,0.7,1.8
1776877194.074863,1.0,0.42,0.8,0.0,0.58,2.56
1776877205.7764592,1.0,0.63,0.8,0.0,0.37,4.7
1776877217.8312616,1.0,0.8,0.8,0.0,0.2,7.59
1776877229.7366164,1.0,0.99,0.8,0.0,0.01,12.68
1776877403.6005967,1.0,0.3,0.8,0.0,0.7,1.8
1776877415.6430762,1.0,0.46,0.8,0.0,0.54,2.87
1776877427.686346,1.0,0.65,0.8,0.0,0.35,4.97
1776877439.6992018,1.0,0.62,0.8,0.0,0.38,4.57
1776877451.7028048,1.0,0.72,0.8,0.0,0.28,6.07
1776877463.1244192,1.0,0.8,0.8,0.0,0.2,7.59
1776877474.6212091,1.0,0.76,0.8,0.0,0.24,6.79
1776877484.1747446,1.0,0.3,0.8,0.0,0.7,1.8
1776877486.08611,1.0,0.82,0.8,0.0,0.17,8.24
1776877495.6445658,1.0,0.46,0.8,0.0,0.54,2.87
1776877497.6560194,1.0,0.88,0.8,0.0,0.12,9.45
1776877507.176225,1.0,0.59,0.8,0.0,0.41,4.19
